Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-08-02,27347,28257,27217,27779
2018-08-03,27780,27904,26882,27159
2018-08-06,25933,26330,25294,25299
2018-08-07,25294,26217,24530,24738
2018-08-08,24786,24922,22482,23111
2018-08-09,23143,24575,22863,24443
2018-08-10,24442,24537,23600,24096
2018-08-13,24064,24757,23358,23539
2018-08-14,23532,23701,22241,23208
2018-08-15,23193,25263,23061,24446
2018-08-16,24436,24558,23613,23758
2018-08-17,23759,24784,23702,24405
2018-08-20,24419,24557,24085,24086
2018-08-21,24051,24223,23391,23952
2018-08-22,23934,25417,23221,23454
2018-08-23,23448,24083,23037,24070
2018-08-24,24053,24463,23867,24356
2018-08-27,24574,24774,24457,24617
2018-08-28,24615,26019,24597,25812
2018-08-29,25797,26129,25380,25863
2018-08-30,25844,25861,25065,25569
2018-08-31,25568,26258,25398,26102
2018-09-03,27012,27140,26686,27012
2018-09-04,27007,27591,26764,27366
2018-09-05,27365,27604,25579,25786
2018-09-06,25785,25786,23318,23940
2018-09-07,23938,24298,23438,23955
2018-09-10,23770,23775,23194,23403
2018-09-11,23402,23722,23045,23410
2018-09-12,23394,23468,23008,23335
2018-09-13,23330,24052,23328,23793
2018-09-14,23794,24228,23607,24205
2018-09-17,24065,24179,22852,22987
2018-09-18,22985,23452,22905,23226
2018-09-19,23226,23852,22475,23429
2018-09-20,23431,23671,23143,23671
2018-09-21,23700,24840,23574,24755
2018-09-24,24523,24662,24034,24200
2018-09-25,24201,24201,23103,23295
2018-09-26,23293,23833,23240,23574
2018-09-27,23548,24662,23393,24624
2018-09-28,24639,24940,24093,24609
2018-10-01,24215,24513,23969,24354
2018-10-02,24352,24526,24059,24305
2018-10-03,24303,24347,23758,24145
2018-10-04,24143,24727,24024,24546
2018-10-05,24546,24654,24411,24492
2018-10-08,24477,25059,24450,24911
2018-10-09,24896,24963,24657,24688
2018-10-10,24691,24762,24188,24505
2018-10-11,24515,24579,22917,23151
2018-10-12,23138,23285,22821,23198
2018-10-15,23203,25795,23015,23941
2018-10-16,23923,24454,23918,24156
2018-10-17,24154,24314,24072,24307
2018-10-18,24306,24454,24144,24168
2018-10-19,24177,24301,23940,23982
2018-10-22,24186,24192,23991,24137
2018-10-23,24134,24230,23980,24097
2018-10-24,24101,24510,24080,24464
2018-10-25,24460,24477,24237,24391
2018-10-26,24390,24589,24277,24312
2018-10-29,24251,24364,23687,23919
2018-10-30,23921,24044,23849,23998
2018-10-31,23983,24353,23805,24270
2018-11-01,24270,24285,23920,24088
2018-11-02,24089,24264,23969,24093
2018-11-05,24303,24420,24080,24207
2018-11-06,24224,24458,24152,24320
2018-11-07,24334,24725,24278,24455
2018-11-08,24458,24495,24049,24206
2018-11-09,24215,24344,23938,24062
2018-11-12,24015,24386,23997,24363
2018-11-13,24360,24386,24041,24047
2018-11-14,24047,24123,20485,21249
2018-11-15,21208,21682,19983,20967
2018-11-16,20961,21350,20811,20937
2018-11-19,21053,21122,17892,18304
2018-11-20,18295,18638,15646,16344
2018-11-21,16299,17641,16103,17019
2018-11-22,17016,17443,16572,16725
2018-11-23,16710,16710,15551,16090
2018-11-26,15064,15474,13514,13955
2018-11-27,13948,14648,13673,14531
2018-11-28,14532,16468,14396,15875
2018-11-29,15882,16706,15506,15965
2018-11-30,15972,16220,14692,15068
2018-12-03,15656,15738,14225,14563
2018-12-04,14567,15281,14194,14811
2018-12-05,14802,14888,13968,14081
2018-12-06,14093,14608,13494,13594
2018-12-07,13593,13744,12195,12655
2018-12-10,13375,13627,12847,13090
2018-12-11,13086,13103,12648,12893
2018-12-12,12888,13298,12737,13003
2018-12-13,13003,13104,12336,12461
2018-12-14,12459,12574,12116,12131
2018-12-17,12269,13634,12215,13262
2018-12-18,13284,13595,13098,13566
2018-12-19,13551,14868,13537,14142
2018-12-20,14136,15792,13965,15364
2018-12-21,15395,15681,14424,14492
2018-12-24,15085,16128,14995,15351
2018-12-26,14320,14657,14027,14520
2018-12-27,14526,14604,13565,13653
2018-12-28,13651,15035,13556,14856
2018-12-31,14538,14622,13845,13949
2019-01-02,14093,15001,14085,14960
2019-01-03,14974,15032,14345,14469
2019-01-04,14470,14591,14236,14390
2019-01-07,15294,15458,14989,15101
2019-01-08,15093,15557,15023,15169
2019-01-09,15168,15318,14902,15010
2019-01-10,15009,15135,13474,13656
2019-01-11,13654,13825,13502,13784
2019-01-14,13224,13965,13202,13802
2019-01-15,13799,13878,13476,13552
2019-01-16,13553,13886,13529,13599
2019-01-17,13597,13796,13471,13765
2019-01-18,13759,13829,13581,13681
2019-01-21,13432,13478,13262,13364
2019-01-22,13368,13664,12999,13582
2019-01-23,13583,13698,13367,13464
2019-01-24,13469,13748,13370,13622
2019-01-25,13622,13667,13377,13427
2019-01-28,13379,13380,12774,12975
2019-01-29,12975,13013,12657,12863
2019-01-30,12859,13090,12768,12955
2019-01-31,12953,13054,12740,12849
2019-02-01,12847,13054,12699,13022
2019-02-04,12833,12956,12799,12877
2019-02-05,12876,12987,12830,12969
2019-02-06,12970,13020,12720,12827
2019-02-07,12832,12930,12818,12863
2019-02-08,12870,14234,12819,13937
2019-02-11,13914,14032,13769,13902
2019-02-12,13910,13951,13733,13816
2019-02-13,13815,13979,13752,13879
2019-02-14,13877,13935,13762,13779
2019-02-15,13778,13996,13755,13805
2019-02-18,13976,15078,13951,14914
2019-02-19,14919,15370,14869,15053
2019-02-20,15054,15290,14891,15123
2019-02-21,15124,15413,14923,15000
2019-02-22,15000,15280,14977,15198
2019-02-25,14506,14874,14401,14717
2019-02-26,14718,14759,14510,14540
2019-02-27,14541,14631,14059,14418
2019-02-28,14433,14831,14429,14496
2019-03-01,14497,14691,14472,14636
2019-03-04,14445,14536,14045,14122
2019-03-05,14117,14839,14090,14728
2019-03-06,14720,14865,14631,14772
2019-03-07,14773,15087,14706,15021
2019-03-08,15022,15168,14949,15065
2019-03-11,15068,15108,14740,14837
2019-03-12,14837,14922,14635,14841
2019-03-13,14842,14877,14692,14721
2019-03-14,14722,14943,14561,14786
2019-03-15,14785,14968,14756,14934
2019-03-18,15203,15376,15037,15179
2019-03-19,15180,15277,15068,15216
2019-03-20,15209,15293,15107,15222
2019-03-21,15221,15349,14899,15067
2019-03-22,15075,15312,14984,15218
2019-03-25,15187,15229,14757,14885
2019-03-26,14884,15017,14846,14972
2019-03-27,14977,15458,14968,15405
2019-03-28,15406,15492,15333,15440
2019-03-29,15439,15828,15428,15740
2019-04-01,15769,15981,15639,15926
2019-04-02,15924,19412,15923,18432
2019-04-03,18428,20352,18426,19916
2019-04-04,19792,20077,18342,18893
2019-04-05,18903,19411,18693,19236
2019-04-08,19802,20428,19621,20131
2019-04-09,20142,20241,19626,19894
2019-04-10,19895,20748,19686,20107
2019-04-11,20108,20279,18946,19138
2019-04-12,19137,19368,18727,19195
2019-04-15,19373,19668,18770,19015
2019-04-16,19015,19812,19007,19752
2019-04-17,19762,19943,19621,19833
2019-04-18,19834,20276,19729,20207
2019-04-22,20101,20688,20045,20544
2019-04-23,20533,21479,20462,21310
2019-04-24,21307,21530,20706,20978
2019-04-25,20976,21300,20757,20861
2019-04-26,20814,20904,19408,19958
